"Показник","Територіальний розріз","Категорія Розрізу","Розріз","Географічна ознака","Вид економічної діяльності","Кількість зайнятих працівників","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Кількість інноваційно активних підприємств","Чернігівська","За розробниками інновацій","Іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","9","","","","",""
"Кількість інноваційно активних промислових підприємств","Україна","За напрямами інноваційної діяльності","НДР, виконані власними силами","Не застосовується","Добування металевих руд","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","1","","","","","2"
"Кількість інноваційно активних підприємств","Черкаська","За типами інновацій","Процесові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","40","","","","",""
"Кількість інноваційно активних підприємств","Черкаська","За розробниками інновацій","Підприємством самостійно (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","12","","28","","","","",""
"Кількість інноваційно активних підприємств","Черкаська","За розробниками інновацій","Підприємством самостійно (послуги)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2016-2018).","","","","5","","","","","","",""
"Кількість інноваційно активних підприємств","Чернігівська","За розробниками інновацій","Підприємством самостійно (послуги)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2016-2018).","","","","7","","","","","","",""
"Кількість інноваційно активних підприємств","Хмельницька","За типами інновацій","Процесові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","40","","","","",""
"Кількість інноваційно активних підприємств","Київ","За розробниками інновацій","Шляхом модифікації продукції (товарів, послуг), яка була розроблена іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","71","","","","",""
"Кількість інноваційно активних підприємств","Севастополь","За розробниками інновацій","Шляхом модифікації продукції (товарів, послуг), яка була розроблена іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств","Чернігівська","За типами інновацій","Процесові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","41","","","","",""
"Кількість інноваційно активних підприємств","Чернівецька","За напрямами інноваційної діяльності","НДР, виконані іншими підприємствами","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","6","","","","",""
"Кількість інноваційно активних підприємств","Чернігівська","За напрямами інноваційної діяльності","Інноваційна діяльність (за виключенням НДР)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","40","","","","",""
"Кількість інноваційно активних підприємств","Херсонська","За розробниками інновацій","Разом з іншими підприємствами (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","5","","","","",""
"Кількість інноваційно активних підприємств","Хмельницька","Усього","Усього","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","32","","50","","","","",""
"Кількість інноваційно активних підприємств","Чернівецька","За розробниками інновацій","Підприємством самостійно (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","5","","15","","","","",""
"Кількість інноваційно активних промислових підприємств","Україна","За напрямами інноваційної діяльності","НДР, виконані власними силами","Не застосовується","Добування кам'яного та бурого вугілля","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств","Київ","За типами інновацій","Процесові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","263","","","","",""
"Кількість інноваційно активних підприємств","Севастополь","За розробниками інновацій","Підприємством самостійно (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств","Черкаська","За розробниками інновацій","Шляхом модифікації продукції (товарів, послуг), яка була розроблена іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","4","","","","",""
"Кількість інноваційно активних підприємств","Хмельницька","За розробниками інновацій","Підприємством самостійно (послуги)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2016-2018).","","","","6","","","","","","",""
"Кількість інноваційно активних підприємств","Київ","За розробниками інновацій","Підприємством самостійно (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","338","","179","","","","",""
"Кількість інноваційно активних підприємств","Черкаська","За розробниками інновацій","Іншими підприємствами (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","","","","","","","","","","","",""
"Кількість інноваційно активних підприємств","Чернівецька","За розробниками інновацій","Підприємством самостійно (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","12","","18","","","","",""
"Кількість інноваційно активних підприємств","Херсонська","За розробниками інновацій","Іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","4","","","","",""
"Кількість інноваційно активних підприємств","Чернігівська","За напрямами інноваційної діяльності","НДР, виконані власними силами","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","12","","","","",""
"Кількість інноваційно активних підприємств","Київ","За типами інновацій","Продуктові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","233","","","","",""
"Кількість інноваційно активних підприємств","Севастополь","За розробниками інновацій","Підприємством самостійно (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
"Кількість інноваційно активних підприємств","Київ","За розробниками інновацій","Підприємством самостійно (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","198","","167","","","","",""
"Кількість інноваційно активних підприємств","Чернігівська","За типами інновацій","Продуктові","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","31","","","","",""
"Кількість інноваційно активних промислових підприємств","Україна","За напрямами інноваційної діяльності","НДР, виконані власними силами","Не застосовується","Виробництво одягу","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","3","2","1","1","2","","1","1"
"Кількість інноваційно активних підприємств","Чернігівська","За напрямами інноваційної діяльності","НДР, виконані іншими підприємствами","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","4","","","","",""
"Кількість інноваційно активних промислових підприємств","Україна","За напрямами інноваційної діяльності","НДР, виконані власними силами","Не застосовується","Виробництво напоїв","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","4","5","2","3","1","","1","4","3"
"Кількість інноваційно активних підприємств","Черкаська","За розробниками інновацій","Разом з іншими підприємствами (процеси)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","6","","","","",""
"Кількість інноваційно активних підприємств","Херсонська","За розробниками інновацій","Іншими підприємствами (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Розрахунок показників здійснювався за три суміжні роки (2018-2020).","","","","","","1","","","","",""
"Кількість інноваційно активних підприємств","Севастополь","За розробниками інновацій","Шляхом модифікації продукції (товарів, послуг), яка була розроблена іншими підприємствами (продукцію)","Не застосовується","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 10 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
